job_id,title,company_size,industry,city,province,work_type,experience_level,salary_cad,skills_required,degree_req,posted_date,source
CA-0017,Financial Data Analyst,Small (<50),Technology,Montreal,Quebec,Hybrid,Entry Level (0-2 yrs),67000,SQL; Excel; Power BI; Tableau; Spark; DAX,Bachelors Preferred,2024-12-17,Indeed
CA-0018,Business Analyst,Mid (50-500),Retail & E-Commerce,Edmonton,Alberta,Hybrid,Senior Level (5+ yrs),72000,SQL; Excel; Python; Power BI; Tableau; Jira; Git,Masters Preferred,2023-12-20,Job Bank
CA-0019,Junior Data Analyst,Large (500+),Financial Services,Vancouver,British Columbia,Hybrid,Senior Level (5+ yrs),63000,SQL; Excel; Tableau; Power Query,Bachelors Required,2024-10-04,LinkedIn
CA-0020,Senior Data Analyst,Mid (50-500),Technology,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),112000,SQL; Excel; Jira; Git,Bachelors Required,2024-03-15,Job Bank
CA-0021,Data Analyst,Large (500+),Technology,Mississauga,Ontario,Remote,Mid Level (2-5 yrs),82000,SQL; Excel; Power BI; Tableau; Looker,Not Specified,2024-03-05,LinkedIn
CA-0022,Senior Data Analyst,Small (<50),Technology,Calgary,Alberta,Remote,Mid Level (2-5 yrs),118000,SQL; Excel; Tableau; Snowflake,Bachelors Required,2024-04-26,Glassdoor
CA-0023,Data Analyst,Small (<50),Technology,Waterloo,Ontario,Hybrid,Entry Level (0-2 yrs),71000,SQL; Excel; Power BI; R; Jira; Git; Power Query; Databricks,Not Specified,2024-12-31,LinkedIn
CA-0024,Junior Data Analyst,Large (500+),Manufacturing,Vancouver,British Columbia,Hybrid,Mid Level (2-5 yrs),62000,SQL; Excel; Power BI; Tableau; SQL Server,Bachelors Preferred,2024-12-05,Glassdoor
CA-0025,Senior Data Analyst,Mid (50-500),Financial Services,Toronto,Ontario,Remote,Mid Level (2-5 yrs),123000,SQL; Excel; Python; Power BI; Spark; Databricks,Not Specified,2024-06-27,Job Bank
CA-0026,Data Analyst II,Small (<50),Consulting,Victoria,British Columbia,Remote,Mid Level (2-5 yrs),84000,SQL; Excel; Python; Power BI; Tableau; SQL Server; Looker; DAX,Bachelors Required,2024-10-15,Indeed
CA-0027,Data Analyst,Mid (50-500),Financial Services,Vancouver,British Columbia,Hybrid,Senior Level (5+ yrs),70000,SQL; Excel; Python; Azure; R; Git; Snowflake,Masters Preferred,2024-01-29,LinkedIn
CA-0028,Business Intelligence Analyst,Large (500+),Technology,Montreal,Quebec,Hybrid,Entry Level (0-2 yrs),70000,SQL; Excel; Tableau; Git; DAX,Bachelors Preferred,2024-03-02,LinkedIn
CA-0029,Data Analyst,Small (<50),Energy,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),85000,SQL; Excel; Tableau; SQL Server; Spark; Power Query,Bachelors Preferred,2024-05-14,Indeed
CA-0030,Business Analyst,Mid (50-500),Technology,Ottawa,Ontario,Hybrid,Senior Level (5+ yrs),64000,SQL; Excel; Python; Power BI; Tableau; Azure; R; Looker; Power Query,Bachelors Preferred,2023-12-15,LinkedIn
CA-0031,Business Intelligence Analyst,Large (500+),Healthcare,Montreal,Quebec,Remote,Mid Level (2-5 yrs),89000,SQL; Python; Power BI; SQL Server,Bachelors Required,2024-01-03,LinkedIn
CA-0032,Senior Data Analyst,Small (<50),Financial Services,Montreal,Quebec,On-site,Mid Level (2-5 yrs),,SQL; Excel; Power BI; Tableau,Masters Preferred,2024-01-07,Indeed
CA-0033,Data Analyst,Small (<50),Consulting,Edmonton,Alberta,Hybrid,Entry Level (0-2 yrs),71000,SQL; Excel; Tableau; Azure; DAX,Bachelors Preferred,2024-02-19,Indeed
CA-0034,Data Analyst,Mid (50-500),Financial Services,Mississauga,Ontario,Hybrid,Senior Level (5+ yrs),84000,SQL; Excel; Python; Tableau; SQL Server,Bachelors Required,2024-01-05,LinkedIn
CA-0035,Business Intelligence Analyst,Large (500+),Energy,Edmonton,Alberta,Remote,Mid Level (2-5 yrs),87000,Excel; Power BI; SQL Server; DAX; Power Query,Not Specified,2024-04-07,Job Bank
CA-0036,Data Analyst,Large (500+),Telecommunications,Halifax,Nova Scotia,Hybrid,Senior Level (5+ yrs),61000,SQL; Excel; Python; Power BI; R; Looker; Power Query; Databricks,Bachelors Required,2024-07-13,LinkedIn
CA-0037,Senior Data Analyst,Mid (50-500),Retail & E-Commerce,Vancouver,British Columbia,Remote,Entry Level (0-2 yrs),109000,SQL; Excel; Python; Tableau; DAX,Not Specified,2024-08-21,Indeed
CA-0038,Senior Data Analyst,Large (500+),Technology,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),109000,SQL; Excel; Python; Power BI; Jira; Git; Spark; Power Query,Bachelors Preferred,2025-01-31,LinkedIn
CA-0039,Business Intelligence Analyst,Large (500+),Technology,Toronto,Ontario,On-site,Mid Level (2-5 yrs),81000,SQL; Excel; Python; Tableau; SQL Server,Bachelors Preferred,2023-11-10,Company Website
CA-0040,Financial Data Analyst,Mid (50-500),Government,Toronto,Ontario,On-site,Mid Level (2-5 yrs),87000,SQL; Python; SQL Server; Spark,Bachelors Required,2024-06-27,Glassdoor
CA-0041,Data Analyst,Small (<50),Consulting,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),84000,SQL; Power BI; SQL Server; DAX,Bachelors Required,2023-11-21,Indeed
CA-0042,Business Intelligence Analyst,Large (500+),Retail & E-Commerce,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),88000,SQL; Excel; Tableau; Jira; Spark; Looker; Databricks,Bachelors Preferred,2024-03-21,LinkedIn
CA-0043,Senior Data Analyst,Mid (50-500),Telecommunications,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),109000,SQL; Excel; Tableau; Azure,Bachelors Required,2025-01-01,LinkedIn
CA-0044,Data Analyst,Small (<50),Technology,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),84000,SQL; Excel; Python; Git; Looker; Power Query,Bachelors Preferred,2025-03-29,LinkedIn
CA-0045,Senior Data Analyst,Large (500+),Government,Vancouver,British Columbia,On-site,Senior Level (5+ yrs),108000,SQL; Excel; Python; Power BI; SQL Server; Azure; R; Looker,Bachelors Preferred,2024-03-03,Indeed
CA-0046,Data Analyst,Mid (50-500),Technology,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),83000,SQL; Jira; DAX; Power Query; Snowflake,Bachelors Required,2023-11-18,Company Website
CA-0047,Data Analyst,Large (500+),Manufacturing,Halifax,Nova Scotia,Remote,Mid Level (2-5 yrs),64000,SQL; Excel; Python; Power BI; Tableau,Bachelors Required,2023-11-28,Indeed
CA-0048,Data Analyst,Large (500+),Manufacturing,Ottawa,Ontario,Hybrid,Senior Level (5+ yrs),72000,SQL; Excel; Python; Power BI; SQL Server; R; Power Query,Bachelors Preferred,2024-03-31,Job Bank
CA-0049,Business Intelligence Analyst,Small (<50),Retail & E-Commerce,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),81000,SQL; Python; Tableau; SQL Server; Jira; Git; Power Query,Masters Preferred,2024-11-22,Job Bank
CA-0050,Business Analyst,Mid (50-500),Technology,Vancouver,British Columbia,Hybrid,Entry Level (0-2 yrs),84000,SQL; Excel; Python; Tableau; SQL Server; Git; Power Query,Bachelors Preferred,2024-01-30,Indeed
CA-0051,Data Analyst,Small (<50),Telecommunications,Halifax,Nova Scotia,Hybrid,Mid Level (2-5 yrs),69000,SQL; Excel; Python; Azure,Masters Preferred,2023-11-02,Glassdoor
CA-0052,Data Analyst,Small (<50),Healthcare,Vancouver,British Columbia,Remote,Senior Level (5+ yrs),81000,SQL; Excel; Python; Power BI; Tableau; Azure; Jira,Bachelors Required,2024-03-12,Indeed
CA-0053,Business Analyst,Mid (50-500),Financial Services,Ottawa,Ontario,On-site,Senior Level (5+ yrs),77000,SQL; Excel; Python; Git; Power Query,Not Specified,2025-01-07,LinkedIn
CA-0054,Data Analyst,Mid (50-500),Retail & E-Commerce,Ottawa,Ontario,Remote,Senior Level (5+ yrs),85000,SQL; Excel; Python; Power BI,Bachelors Preferred,2024-02-04,LinkedIn
CA-0055,Senior Data Analyst,Mid (50-500),Financial Services,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),,SQL; Excel; Tableau; DAX; Databricks,Bachelors Preferred,2024-04-09,LinkedIn
CA-0056,Senior Data Analyst,Large (500+),Manufacturing,Vancouver,British Columbia,Remote,Senior Level (5+ yrs),,SQL; Excel; Python; Power BI; DAX,Bachelors Required,2024-12-27,Glassdoor
CA-0057,Operations Analyst,Large (500+),Financial Services,Edmonton,Alberta,Remote,Mid Level (2-5 yrs),79000,SQL; Excel; Python; Power BI; Jira; Spark,Bachelors Preferred,2024-05-18,Glassdoor
CA-0058,Junior Data Analyst,Large (500+),Government,Montreal,Quebec,Remote,Entry Level (0-2 yrs),58000,SQL; Excel; SQL Server; Azure,Masters Preferred,2025-01-07,LinkedIn
CA-0059,Data Analyst,Large (500+),Financial Services,Ottawa,Ontario,Hybrid,Senior Level (5+ yrs),,SQL; Excel; SQL Server; Azure; R; Git; Spark,Masters Preferred,2024-05-25,LinkedIn
CA-0060,Data Analyst,Large (500+),Healthcare,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),75000,SQL; Python; Power BI; Tableau; SQL Server; Azure; R,Bachelors Required,2024-02-29,Indeed
CA-0061,Business Intelligence Analyst,Mid (50-500),Technology,Waterloo,Ontario,Remote,Entry Level (0-2 yrs),,SQL; Excel; Jira; Looker,Bachelors Preferred,2024-04-24,Company Website
CA-0062,Junior Data Analyst,Mid (50-500),Government,Vancouver,British Columbia,Hybrid,Mid Level (2-5 yrs),64000,SQL; Excel; Python; Tableau,Bachelors Preferred,2024-05-01,LinkedIn
CA-0063,Data Analyst,Large (500+),Telecommunications,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),78000,SQL; Excel; Python; Power BI; SQL Server,Bachelors Required,2024-06-01,Glassdoor
CA-0064,Data Analyst,Small (<50),Consulting,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),86000,SQL; Excel; Power BI; SQL Server; Power Query,Not Specified,2024-10-12,Company Website
CA-0065,Senior Data Analyst,Large (500+),Healthcare,Ottawa,Ontario,On-site,Mid Level (2-5 yrs),,SQL; Excel; Python; Power BI,Masters Preferred,2025-02-16,Job Bank
CA-0066,Data Analyst,Large (500+),Financial Services,Edmonton,Alberta,Hybrid,Senior Level (5+ yrs),71000,Excel; Power BI; Azure; Looker; DAX,Bachelors Required,2024-09-13,Glassdoor
CA-0067,Data Analyst,Mid (50-500),Government,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),80000,SQL; Python; Git,Masters Preferred,2024-05-09,LinkedIn
CA-0068,Data Analyst,Mid (50-500),Technology,Montreal,Quebec,Remote,Mid Level (2-5 yrs),65000,SQL; Excel; Python; Tableau; SQL Server; Snowflake,Bachelors Preferred,2024-12-13,LinkedIn
CA-0069,Business Intelligence Analyst,Large (500+),Retail & E-Commerce,Toronto,Ontario,Remote,Senior Level (5+ yrs),102000,SQL; Excel; Tableau; SQL Server,Not Specified,2024-09-26,Company Website
CA-0070,Operations Analyst,Small (<50),Government,Waterloo,Ontario,Hybrid,Mid Level (2-5 yrs),72000,SQL; Excel; Power BI; Jira; Git; Spark,Bachelors Preferred,2024-05-21,Glassdoor
CA-0071,Operations Analyst,Small (<50),Financial Services,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),,Excel; Azure; Looker; DAX,Not Specified,2024-06-26,LinkedIn
CA-0072,Junior Data Analyst,Mid (50-500),Consulting,Edmonton,Alberta,Hybrid,Senior Level (5+ yrs),59000,Excel; Python; Power BI; Tableau; SQL Server; Jira; Power Query,Bachelors Required,2023-11-13,Company Website
CA-0073,Financial Data Analyst,Mid (50-500),Energy,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),88000,SQL; Excel; Power BI; Tableau; SQL Server,Not Specified,2025-03-13,Indeed
CA-0074,Business Intelligence Analyst,Mid (50-500),Energy,Montreal,Quebec,Remote,Senior Level (5+ yrs),,Excel; Python; SQL Server; Git; Power Query,Bachelors Preferred,2024-05-15,LinkedIn
CA-0075,Business Intelligence Analyst,Mid (50-500),Retail & E-Commerce,Vancouver,British Columbia,Hybrid,Entry Level (0-2 yrs),98000,SQL; Python; Tableau; Jira; Git; Spark,Bachelors Required,2024-09-08,Job Bank
CA-0076,Data Analyst,Large (500+),Government,Montreal,Quebec,On-site,Mid Level (2-5 yrs),,Excel; Python; SQL Server; Jira; Git; Snowflake,Not Specified,2024-01-23,LinkedIn
CA-0077,HR Data Analyst,Mid (50-500),Retail & E-Commerce,Vancouver,British Columbia,Remote,Mid Level (2-5 yrs),75000,SQL; Excel; Python; Power BI; Spark; Looker,Bachelors Required,2024-11-18,Glassdoor
CA-0078,Business Intelligence Analyst,Small (<50),Telecommunications,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),85000,SQL; Excel; Tableau; SQL Server; Git; Snowflake,Bachelors Preferred,2024-01-24,Indeed
CA-0079,Business Analyst,Large (500+),Technology,Montreal,Quebec,Hybrid,Senior Level (5+ yrs),,SQL; Excel; Python; Power BI,Bachelors Required,2023-11-12,LinkedIn
CA-0080,Junior Data Analyst,Large (500+),Manufacturing,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),67000,SQL; Python; Power BI; Tableau,Bachelors Required,2024-06-26,LinkedIn
CA-0081,Senior Data Analyst,Mid (50-500),Technology,Vancouver,British Columbia,Hybrid,Senior Level (5+ yrs),,SQL; Excel; Python; Power BI; SQL Server; Power Query,Not Specified,2023-11-17,Company Website
CA-0082,Business Intelligence Analyst,Mid (50-500),Retail & E-Commerce,Waterloo,Ontario,Remote,Senior Level (5+ yrs),82000,SQL; Excel; Python; Power Query,Bachelors Required,2024-11-02,LinkedIn
CA-0083,Operations Analyst,Mid (50-500),Manufacturing,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),77000,SQL; Excel; Python; Git; Power Query,Bachelors Required,2024-02-06,Company Website
CA-0084,Business Intelligence Analyst,Mid (50-500),Energy,Vancouver,British Columbia,Remote,Entry Level (0-2 yrs),,SQL; Excel; Power BI; Tableau; Azure; DAX,Masters Preferred,2024-12-17,Indeed
CA-0085,Data Analyst,Small (<50),Energy,Winnipeg,Manitoba,Hybrid,Senior Level (5+ yrs),72000,SQL; Excel; Power BI; R,Bachelors Required,2024-06-16,Glassdoor
CA-0086,Data Analyst,Small (<50),Financial Services,Mississauga,Ontario,Hybrid,Mid Level (2-5 yrs),,SQL; Excel; Power BI; SQL Server; R,Bachelors Required,2025-02-27,Indeed
CA-0087,Data Analyst,Small (<50),Consulting,Calgary,Alberta,Hybrid,Senior Level (5+ yrs),68000,SQL; Excel; Python; Power BI; Tableau; R,Bachelors Required,2024-03-01,Indeed
CA-0088,Business Intelligence Analyst,Small (<50),Healthcare,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),,Excel; Python; Tableau; Azure; Jira; Spark,Masters Preferred,2025-02-26,LinkedIn
CA-0089,Business Intelligence Analyst,Small (<50),Financial Services,Winnipeg,Manitoba,Hybrid,Mid Level (2-5 yrs),87000,SQL; Excel; Python; SQL Server; Git,Masters Preferred,2024-11-20,Indeed
CA-0090,Financial Data Analyst,Small (<50),Technology,Mississauga,Ontario,Hybrid,Mid Level (2-5 yrs),72000,SQL; Python; Power BI; Tableau; SQL Server; Jira; Power Query,Not Specified,2024-02-19,Indeed
CA-0091,Financial Data Analyst,Large (500+),Retail & E-Commerce,Halifax,Nova Scotia,Remote,Mid Level (2-5 yrs),82000,SQL; Power BI; Tableau; Jira; Power Query,Not Specified,2023-12-15,Job Bank
CA-0092,HR Data Analyst,Small (<50),Consulting,Vancouver,British Columbia,Remote,Entry Level (0-2 yrs),65000,SQL; Python; Power BI; Tableau,Bachelors Required,2024-10-06,Glassdoor
CA-0093,Business Intelligence Analyst,Large (500+),Technology,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),98000,SQL; Excel; Power BI; Azure; Power Query,Not Specified,2023-11-20,Job Bank
CA-0094,Data Analyst,Large (500+),Financial Services,Waterloo,Ontario,Hybrid,Mid Level (2-5 yrs),68000,SQL; Excel; Power BI; SQL Server,Masters Preferred,2024-04-07,LinkedIn
CA-0095,Business Intelligence Analyst,Mid (50-500),Telecommunications,Mississauga,Ontario,Remote,Mid Level (2-5 yrs),83000,SQL; Excel; Python; Azure,Bachelors Required,2024-01-01,Glassdoor
CA-0096,Data Analyst,Small (<50),Financial Services,Toronto,Ontario,Remote,Mid Level (2-5 yrs),88000,Excel; Tableau; Git,Bachelors Required,2024-03-02,Glassdoor
CA-0097,Financial Data Analyst,Mid (50-500),Retail & E-Commerce,Montreal,Quebec,Hybrid,Senior Level (5+ yrs),81000,SQL; Excel; SQL Server; Azure; Jira; Power Query,Not Specified,2024-03-11,LinkedIn
CA-0098,Data Analyst,Large (500+),Technology,Mississauga,Ontario,Hybrid,Senior Level (5+ yrs),80000,SQL; Excel; Power BI; SQL Server; R,Bachelors Required,2024-04-07,Indeed
CA-0099,Business Intelligence Analyst,Mid (50-500),Technology,Mississauga,Ontario,Remote,Senior Level (5+ yrs),79000,SQL; Excel; Python; Power BI; Tableau; SQL Server; Azure,Bachelors Required,2023-10-21,Glassdoor
CA-0100,Data Analyst,Large (500+),Technology,Saskatoon,Saskatchewan,Remote,Mid Level (2-5 yrs),73000,SQL; Excel; Python; Power BI; Git,Bachelors Preferred,2024-07-11,Job Bank
CA-0101,Data Analyst,Small (<50),Government,Vancouver,British Columbia,Remote,Senior Level (5+ yrs),69000,SQL; Excel; Python; Tableau; SQL Server; Azure,Bachelors Preferred,2024-08-11,LinkedIn
CA-0102,Business Analyst,Mid (50-500),Technology,Halifax,Nova Scotia,Hybrid,Entry Level (0-2 yrs),71000,SQL; Excel; Power BI; Git; DAX,Bachelors Preferred,2025-02-05,Company Website
CA-0103,Junior Data Analyst,Mid (50-500),Telecommunications,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),73000,SQL; Excel; SQL Server; Git; Spark,Bachelors Preferred,2024-11-15,LinkedIn
CA-0104,Business Analyst,Mid (50-500),Financial Services,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),72000,SQL; Excel; SQL Server; Jira,Bachelors Preferred,2024-08-07,Indeed
CA-0105,Data Analyst,Large (500+),Technology,Montreal,Quebec,Remote,Entry Level (0-2 yrs),71000,SQL; Excel; Python; Power BI; SQL Server,Bachelors Preferred,2025-01-27,Glassdoor
CA-0106,Data Analyst,Large (500+),Technology,Toronto,Ontario,On-site,Mid Level (2-5 yrs),82000,SQL; Python; Power BI; Tableau; Spark; DAX; Databricks,Bachelors Required,2024-10-30,LinkedIn
CA-0107,Senior Data Analyst,Small (<50),Technology,Mississauga,Ontario,Hybrid,Senior Level (5+ yrs),118000,Excel; Tableau; SQL Server; Azure; Power Query,Bachelors Required,2025-01-26,Company Website
CA-0108,Business Analyst,Small (<50),Technology,Ottawa,Ontario,Remote,Entry Level (0-2 yrs),77000,SQL; Tableau; SQL Server; Power Query,Bachelors Preferred,2024-09-19,LinkedIn
CA-0109,Data Analyst,Small (<50),Financial Services,Edmonton,Alberta,Hybrid,Entry Level (0-2 yrs),65000,SQL; Python; Power BI; Azure; R; Jira; Git; Power Query,Bachelors Required,2025-02-14,Glassdoor
CA-0110,Senior Data Analyst,Small (<50),Energy,Vancouver,British Columbia,Hybrid,Entry Level (0-2 yrs),99000,SQL; Excel; Azure; Jira; Git,Bachelors Required,2024-07-24,Indeed
CA-0111,Junior Data Analyst,Small (<50),Technology,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),68000,Excel; Power Query,Bachelors Preferred,2024-08-11,Indeed
CA-0112,Data Analyst II,Large (500+),Manufacturing,Edmonton,Alberta,On-site,Entry Level (0-2 yrs),87000,SQL; Excel; Azure; R; DAX; Power Query,Masters Preferred,2024-04-14,Indeed
CA-0113,Business Analyst,Small (<50),Technology,Montreal,Quebec,Hybrid,Senior Level (5+ yrs),61000,SQL; Excel; Power BI; Tableau; Git,Bachelors Preferred,2024-05-13,Glassdoor
CA-0114,Business Intelligence Analyst,Mid (50-500),Consulting,Vancouver,British Columbia,Hybrid,Mid Level (2-5 yrs),92000,SQL; Python; Power BI; SQL Server; DAX; Power Query; Databricks,Bachelors Required,2023-11-12,Company Website
CA-0115,Financial Data Analyst,Large (500+),Retail & E-Commerce,Mississauga,Ontario,On-site,Mid Level (2-5 yrs),,SQL; Excel; Power BI; Tableau; Power Query,Bachelors Required,2024-11-25,LinkedIn
CA-0116,Data Analyst,Large (500+),Financial Services,Edmonton,Alberta,On-site,Mid Level (2-5 yrs),70000,SQL; Python; Tableau; SQL Server; Jira,Bachelors Preferred,2023-12-24,Indeed
CA-0117,Business Analyst,Small (<50),Government,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),81000,SQL; Excel; Python; Power BI; DAX,Masters Preferred,2023-10-15,LinkedIn
CA-0118,Data Analyst,Small (<50),Retail & E-Commerce,Winnipeg,Manitoba,Hybrid,Mid Level (2-5 yrs),62000,SQL; Excel; Power BI; Tableau; SQL Server; Jira; Spark,Bachelors Preferred,2023-12-10,LinkedIn
CA-0119,Senior Data Analyst,Mid (50-500),Telecommunications,Regina,Saskatchewan,Remote,Mid Level (2-5 yrs),93000,SQL; Excel; Tableau; R; Jira; Git; Looker; Power Query; Databricks,Bachelors Required,2024-08-13,Indeed
CA-0120,Junior Data Analyst,Mid (50-500),Government,Regina,Saskatchewan,Hybrid,Senior Level (5+ yrs),,SQL; Excel; Python; Power BI; Tableau,Not Specified,2023-12-15,Glassdoor
CA-0121,Senior Data Analyst,Mid (50-500),Technology,Toronto,Ontario,Hybrid,Mid Level (2-5 yrs),113000,SQL; Excel; Python; Power BI; Tableau; Azure; R; Databricks,Bachelors Required,2024-09-09,LinkedIn
CA-0122,Data Analyst,Mid (50-500),Technology,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),70000,SQL; Python; Power BI; DAX; Power Query,Bachelors Required,2024-03-20,LinkedIn
CA-0123,Marketing Data Analyst,Large (500+),Technology,Calgary,Alberta,Hybrid,Entry Level (0-2 yrs),65000,SQL; Excel; Python; Power BI; Azure; Power Query,Not Specified,2024-05-14,LinkedIn
CA-0124,Data Analyst,Mid (50-500),Technology,Victoria,British Columbia,Hybrid,Entry Level (0-2 yrs),67000,SQL; Excel; Python; Power BI; SQL Server; Azure; Jira,Bachelors Required,2025-02-21,Glassdoor
CA-0125,Data Analyst,Mid (50-500),Technology,Vancouver,British Columbia,On-site,Mid Level (2-5 yrs),75000,SQL; Excel; DAX; Power Query,Bachelors Required,2025-03-20,Glassdoor
CA-0126,Junior Data Analyst,Mid (50-500),Manufacturing,Montreal,Quebec,Remote,Mid Level (2-5 yrs),65000,SQL; Excel; Snowflake,Masters Preferred,2024-10-27,LinkedIn
CA-0127,Data Analyst,Mid (50-500),Financial Services,Halifax,Nova Scotia,Hybrid,Senior Level (5+ yrs),,SQL; Excel; Python; Power BI; DAX; Power Query,Bachelors Required,2024-01-31,Indeed
CA-0128,Business Analyst,Mid (50-500),Financial Services,Winnipeg,Manitoba,Remote,Mid Level (2-5 yrs),72000,Python; SQL Server; DAX,Bachelors Required,2024-09-29,LinkedIn
CA-0129,Junior Data Analyst,Large (500+),Financial Services,Waterloo,Ontario,Remote,Mid Level (2-5 yrs),68000,SQL; Python; Power BI; Git,Not Specified,2024-04-18,Indeed
CA-0130,Data Analyst,Large (500+),Telecommunications,Vancouver,British Columbia,Hybrid,Mid Level (2-5 yrs),,SQL; Excel; Power BI; SQL Server,Masters Preferred,2025-01-07,Indeed
CA-0131,Junior Data Analyst,Large (500+),Financial Services,Waterloo,Ontario,Remote,Entry Level (0-2 yrs),,SQL; Excel; Python; Power BI; SQL Server; DAX,Bachelors Required,2025-01-20,Glassdoor
CA-0132,Data Analyst,Small (<50),Retail & E-Commerce,Toronto,Ontario,Hybrid,Entry Level (0-2 yrs),,SQL; Excel; Tableau; SQL Server; R,Not Specified,2024-02-18,LinkedIn
CA-0133,Senior Data Analyst,Small (<50),Government,Mississauga,Ontario,Remote,Mid Level (2-5 yrs),116000,SQL; Excel; Python; Power BI,Not Specified,2024-05-20,LinkedIn
CA-0134,Data Analyst,Small (<50),Technology,Vancouver,British Columbia,Remote,Entry Level (0-2 yrs),,SQL; Excel; Power BI; Tableau,Not Specified,2024-04-07,Indeed
